事故编号(序号),事故发生时间,星期,事故地点,桩号,事故类型1,事故类型2,死亡人数,重伤人数,受伤人数,直接财产损失（元）,交通中断时间,天气,道路线型,路口路段类型,事故形态,事故认定原因,交通方式 涉事车辆1,交通方式 涉事车辆2（两车事故填）,交通方式 其它涉事车辆（多车事故时手填）,路表情况,路侧防护设施类型,案情简要
75,2020/11/8 17:10,7,银昆高速公路下行线K1679+800,1679800,轻微事故,单车事故,0,0,0,13136,无,阴,平直,普通路段,撞固定物,其他操作不当,小型客车,,,干燥,波形防撞护栏,2020年11月8日17时10分，当班负责人接到交警电话通知，下行线K1679+800处一辆一型客轿车车牌为（云C70J70）发生一起单方肇事（悦乐收费站至大关收费站之间），现场无人员伤亡，有路产损坏。当班人员于17时18分赶到现场，协助交警摆放安全警示标示标牌，并及时上报监控中心及相关科室，事故车辆占用应急车道、行车道、超车道能正常通行，17时40分事故处理完毕。
76,00:00.0,5,G85银昆高速下行线K1712+000M,1712000,伤人事故,单车事故,0,0,1,,无,阴,平直,普通路段,侧面相撞,其他操作不当,小型客车,,,潮湿,波形防撞护栏,上高桥隧管站08时00分接四中队交警部门通知，下行线K1712+000处（涉及站点：靖安收费站至上高桥收费站之间）发生1起单方肇事交通事故。08时05分当班人员抵达事故现场，经现场勘察，事故造成1人轻伤，造成路产损坏（造成K1712+100处路产损坏：1.立柱一根。2.波形护栏2块，块/4.3米共计8.6米；3.防阻块2个）。占据应急车道。当班人员立即在事故现场增设安全警示锥桶，并配合交警部门疏导车辆进行处理。08时09分拖车到达现场。已上报昭阳分处养护安全部及监控中心，08时28分交通事故处理完毕，交通恢复正常通行。
77,2020/10/13 10:33,2,银昆高速公路下行线K1747+900M,1747900,轻微事故,单车事故,0,0,0,5920,,晴,平直,桥梁,,超速行驶,小型客车,,,干燥,波形防撞护栏,2020年10月13日10时33分，高家军，男，36岁，驾驶云CX8732号轿车行驶在G85银昆高速麻昭段，10时33分，行驶到银昆高速公路下行线K1747+900M处时，因操作失误导致车辆撞击右侧波形护栏，造成单方肇事交通事故，有路产损失，无人员伤亡，事故未造成交通中断。事故认定为：驾驶员超速行驶。
78,2020/10/14 17:15,3,银昆高速公路下行线K1756+500M,1756500,轻微事故,单车事故,0,0,0,5220,,晴,平直,普通路段,,疲劳驾驶,小型客车,,,干燥,波形防撞护栏,2020年10月14日17时15分，任静雯，女，25岁，驾驶渝A017SD号轿车行驶在G85银昆高速麻昭段，17时15分许，行驶到银昆高速公路下行线K1756+500M处时，因操作失误导致车辆撞击右侧波形护栏，造成单方肇事交通事故，有路产损失，无人员伤亡，事故未造成交通中断。事故认定为：驾驶员疲劳驾驶。
80,25:00.0,7,G85银昆高速上行线K1701+400M,1701400,财产损失事故,单车事故,0,0,0,7920,06:25-13:18,阴,一般坡,隧道,翻车,疲劳驾驶,大型货车,,,干燥,防撞墙,上高桥隧管站06时25分接四中队交警部门通知，上行线王家坪隧道内发生一起单方肇事交通事故，交警部门正在赶赴现场并需要当班人员协助处理。当班人员于06时40分至上行线王家坪隧道入口处时交通已经阻断无法正常通行，于06时50分当班人员步行至上行线K1701+400处事故现场进行查看，肇事车辆是一辆车牌为云G88254的六轴货车侧翻，占用行车道及超车道导致交通受阻无法通行，现场无人员伤亡，有路产损坏（涉及大面积油污并在增长）；当班人员考虑到施救原因在事故现场后方100米处疏导车辆并开启车行横洞卷帘门便于救援车辆快速到达现场；并快速将现场情况与交警共享数据；同时上报监控中心及养护安全部（邓义兴、钟生茂）和当班领导张世刚，并通知路政部门及保洁人员，同时要求驾驶员立即阻止油污的面积扩大；于07时10分交警部门赶到现场并联系了救援单位，由于救援时间较长在交警部门上行线K1701+400处进行截流并于07时27分从大关收费站对所有往昭通方向的车辆进行分流；于08时10分保洁单位到达现场对现场油污进行前期处理；08时30分路政部门到达事故现场当班人员协同路政及驾乘人员对损坏的路产进行核量，经核量：（造成K1701+400处路产损坏：1.电缆沟沟盖板6块。2.电缆沟沟帮长6米。3.路面油污20㎡。4.损坏防撞沙桶1个。5.损坏轮廓灯2颗），08时50分昭阳分处领导（付开华、邓义兴）到达事故现场对现场进行查看并与交警协商实施救援；08时57分拖车到达现场；09时30分吊车到达现场由于施救原因吊车需要从下行线横穿车行横洞，于09时40分至09时52分在下行线K1713+300处、上高桥收费站入口进行交通临时管制12分钟。10时08分至12时20分两辆吊车、一辆随车吊、一辆四轴货车对肇事车辆装载的工业用牛皮卷纸进行倒装货物；货物倒装完毕后12时54分拖车对事故车辆进行拖离。于13时18分昭阳分处领导和当班人员协助保洁人员对现场油污清理完毕，道路恢复正常通行。交通截流时间6小时53分；在大关收费站分流时间6小时7分，分流客车529辆，货车249辆。
81,2020/10/24 5:30,5,银昆高速公路下行K1764+700M,1764700,财产损失事故,单车事故,0,0,0,5160,09:50-10:10,阴,平直,普通路段,撞固定物,疲劳驾驶,小型客车,,,干燥,波形防撞护栏,2020年10月24日05时30分，熊春宝，男，26岁，驾驶云A9089J号轿车行驶在G85银昆高速麻昭段，05时30分许，行驶到银昆高速公路下行K1764+700M处时，因操作不当导致车辆撞击右侧波形护栏，造成单方肇事交通事故，有路产损失，无人员伤亡，事故造成交通中断，中断时间：09时50分至10时10分。事故认定为：驾驶员疲劳驾驶。
82,2020/10/25 10:10,6,银昆高速公路下行K1745+000M,1745000,财产损失事故,单车事故,0,0,0,11340,05:45-06:21,晴,平直,普通路段,撞固定物,超速行驶,小型客车,,,干燥,波形防撞护栏,2020年10月25日10时10分，余德海，男，36岁，驾驶云A6M72U号轿车行驶在G85银昆高速麻昭段，10时10分许，行驶到银昆高速公路下行K1745+000M处时，因操作不当导致车辆撞击左侧波形护栏，造成单方肇事交通事故，有路产损失，无人员伤亡，事故造成交通中断，中断时间：05时45分至06时21分。事故认定为：驾驶员超速行驶
83,57:00.0,3,G85银昆高速上行线K1713+900M,1713900,财产损失事故,单车事故,0,0,0,5680,无,阴,平直,普通路段,侧面相撞,转向不当,中型货车,,,干燥,波形防撞护栏,上高桥隧管站15时57分接四中队交警部门通知，上行线K1713+900处（涉及站点：上高桥收费站至靖安收费站之间）发生一起单方肇事交通事故，16时05分当班人员抵达事故现场，肇事车辆已开至靖安服务区安全地带，经现场勘察，无人员伤亡，有路产损坏，事故造成：（K1713+900处路产损坏：1.立柱一根。2.波形护栏2块，块/4.3米共计8.6米；3.防阻块3个）。16时28分交通事故处理完毕，当班人员撤离现场，已上报昭阳分处养护安全部。
84,40:00.0,3,G85银昆高速上行线K1733+900M,1733900,财产损失事故,单车事故,0,0,0,6382,19:00-20:10,阴,平直,普通路段,翻车,其他操作不当,小型货车,,,干燥,波形防撞护栏,上高桥隧管站18时40分接昭阳分处领导通知，上行线K1733+900处（涉及站点：靖安收费站至昭通北收费站之间）发生一起单方肇事交通事故，19时05分当班人员抵达事故现场，事故是由于一辆车牌为川A0W883的二轴货车操作不当导致侧翻造成的交通事故，该事故有1人受伤，造成K1733+900处路产损坏：1.路面垃圾长10米、宽1.5米，2.损坏波形护栏（两波板4.3米/块）2块共计8.6米，3.损坏防阻块1个，4.损坏立柱1根，5.路面划痕长2米、宽0.2米。占用应急车道及行车道，堵断交通，交通无法正常通行，当班人员配合交警对上行线K1731+100处进行临时交通管制（管制时间19:00-20:10），在事故现场增设安全警示锥桶，并配合交警部门及路政部门处理事故。已上报昭阳分处养护安全部及监控中心，于23时40分交通事故处理完毕，道路恢复正常通行。
85,25:00.0,4,G85银昆高速上行线K1735+400M,1735400,轻微事故,单车事故,0,0,0,,04:32-04:47,阴,平直,普通路段,正面相撞,其他操作不当,大型货车,,,干燥,其他防护设施,上高桥隧管站02时58分接北闸执勤点交警通知，上行线K1735+400处（涉及站点：靖安收费站至昭通北收费站之间）发生一起单方肇事交通事故，我站人员于03:30分到达事故现场，上高桥隧管站配合交警、路政处理，事故因驾驶员操作不当导致车辆从上行线冲到下行线车道（肇事车牌：晋LE6622、晋LPY62挂），现场有路产损失，无人员伤亡，占用下行线行车道及超车道，导致下行线交通堵塞，对下行线K1735+600处进行临时交通管制。04:32分因施救需要对上行线K1731+100处进行临时交通管制。04:47分因下行线滞留车辆较多，对下行线K1738+300处车辆分流处昭通北收费站。已上报昭阳分处安全养护部领导及监控中心，损坏路产：1.路面油污长4.9米、宽1.5米合计7.35平方，2.损坏钢管预应力索中央活动开口护栏长40米，3.损坏波形护栏立柱1根，4.路面垃圾长10米、宽4米合计40平方，5.损坏防眩板40块。事故于06:20分处理完毕，道路恢复正常通行。
86,30:00.0,5,G85银昆高速下行线K1722+150M,1722150,财产损失事故,单车事故,0,0,0,24,无,阴,平直,普通路段,翻车,其他操作不当,中型货车,,,干燥,无防护,上高桥隧管站02时58分接北闸执勤点交警通知，下行线K1722+150处（涉及站点：昭通北收费站至靖安收费站间）发生一起单方肇事交通事故，我站人员于05时5分到达事故现场，上高桥隧管站配合交警处理，事故因驾驶员操作不当导致车辆侧翻，现场有路产损失，无人员伤亡，占用下行线超车道，已上报昭阳分处安全养护部领导及监控中心，损坏路产：路面划痕长3.1米宽0.1米合计0.31平方。事故于07:29分处理完毕，道路恢复正常通行。
87,2020/12/1 6:12,2,银昆高速公路上行线K1742+200M,1742200,轻微事故,单车事故,0,0,0,,05:50-07:34,晴,平直,普通路段,撞固定物,疲劳驾驶,中型货车,,,干燥,波形防撞护栏,2020年12月1日06时00分，黄震东，男，29岁，驾驶云AH65D6号货车行驶在G85银昆高速麻昭段，06时00分许，行驶到银昆高速公路上行线K1741+200M处时，因操作不当导致车辆撞击中央波形护栏，造成单方肇事交通事故，有路产损失，无人员伤亡，事故早晨交通中断，中断时间：05时50分至07时34分。事故认定为：驾驶员疲劳驾驶。
88,48:00.0,4,G85银昆高速上行线K1719+820M,1719820,财产损失事故,两车事故,0,0,0,4850,无,阴,平直,桥梁,尾随相撞,未与前方车辆保持安全距离,中型货车,中型客车,,潮湿,防撞墙,上高桥隧管站05时48分接四中队交警通知，上行线K1719+820处（涉及站点：靖安收费站至昭通北收费站之间）发生一起两车追尾交通事故，我站人员于06:10分到达事故现场，上高桥隧管站配合交警处理，现场有路产损失，无人员伤亡，占用上行线行车道、应急车道，已上报昭阳分处安全养护部领导及监控中心，损坏路产：1.路面油污长10米、宽2米；2.路面垃圾污染长5.5米、宽3米；于08时55分拖车拖移事故车辆交通恢复正常。
89,25:00.0,3,G85银昆高速下行线K1726+900M,1726900,财产损失事故,单车事故,0,0,0,160,无,阴,平直,普通路段,侧面相撞,其他操作不当,小型客车,,,潮湿,无防护,上高桥隧管站白班当班人员14时25分巡逻至下行线K1726+900处发现一辆一型客车单方肇事事故，肇事车牌：云ＣZ0851，该事故占用应急车道，行车道、超车道正常通行，该事故无人员伤亡，损坏路产：损坏防眩板1块，昭通北收费站至靖安收费站之间，上高桥隧管站及时联系路政、交警部门处理，15时30分事故车辆被拖走，事故处理完毕用时1小时30分，道路交通恢复正常。
90,36:00.0,5,G85银昆高速上行线K1727+200M,1727200,财产损失事故,单车事故,0,0,1,5620,无,阴,平直,普通路段,侧面相撞,其他操作不当,小型客车,,,潮湿,波形防撞护栏,16时36分接养护工人通知上高桥隧管站辖区上行线K1727+200（靖安收费站与昭通北收费站之间）发生一起交通事故，交警已到达现场，当班人员于17时08分赶到现场并立即通知路政部门，现场封闭行车道，超车道正常通行，经现场查看是一辆一型客车（车牌:云A895NT），因驾驶员操作不当撞向波形护栏，现场一人轻微伤，有路产损失，（波形护栏2块，立柱1根，防阻块1块），路政部门于18时03分到达现场，事故车辆于18时06分拖离现场。该事故于18时12分处理完毕。
91,30:00.0,5,G85银昆高速上行线K1714+700M,1714700,财产损失事故,两车事故,0,0,0,1450,无,阴,平直,普通路段,侧面相撞,其他操作不当,大型货车,中型货车,,潮湿,波形防撞护栏,2020年12日08时14分接养护工人通知上高桥隧管站辖区上行线K1714+700（上高桥收费站与靖安收费站之间）发生一起两车追尾交通事故，交警已到达现场，当班人员于08时30分赶到现场并立即通知路政部门，现场封闭行车道，超车道正常通行，经现场查看是一辆五型货车（车牌:冀FRM79挂）因驾驶员操作不当追尾一辆三型货车（车牌:川S98639），现场无人员伤亡，有路产损失，路产损坏：1.路面油污长2.8m、宽4.2m，合计4.2㎡，2.路面垃圾长9m、宽1m，合计9㎡，事故车辆于09时25分拖离现场，该事故于09时33分处理完毕。
92,2020/12/24 5:21,4,银昆高速公路下行线K1688+107,1688107,轻微事故,单车事故,0,0,0,,无,晴,平直,隧道,撞固定物,疲劳驾驶,小型货车,,,干燥,其他防护设施,2020年12月24日05时21分，当班负责人接到交警电话通知，下行线K1688+107处一辆一型货车车牌为（甘AT5C15）发生一起单方肇事（上高桥收费站至悦乐收费站之间）现场无人员伤亡，有路产损坏，当班人员于06时15分赶到现场，协助交警摆放安全警示标示标牌，并及时上报相关科室，事故车辆占用应急车道，行车道、超车道能正常通行，08时13分事故处理完毕。
93,2020/12/31 22:50,4,银昆高速公路下行线179+600M,179600,财产损失事故,单车事故,0,0,0,9000,,阴,平直,普通路段,撞固定物,其他操作不当,小型客车,,,潮湿,防撞墙,2020年12月31日23时20分，梁杰，男，40岁，驾驶川Q309Q5号面包车行驶在在G85银昆高速麻昭段，23时20分许，行驶在银昆高速公路下行线179+600M处时，因操作失误导致车辆撞击右侧波形护栏，造成单方肇事交通事故，有路产损失，无人员伤亡，事故未造成交通中断。事故认定为：驾驶员操作不当。
94,2020/12/31 22:50,4,银昆高速公路上行线1754+000M,1754000,财产损失事故,单车事故,0,0,0,8860,,阴,平直,普通路段,撞固定物,其他操作不当,小型客车,,,潮湿,防撞墙,2020年12月31日22时55分，驾驶员驾驶川A8E23H号轿车行驶在在G85银昆高速麻昭段，22时55分许，行驶在银昆高速公路下行线1754+000M处时，因操作失误导致车辆撞击右侧波形护栏，造成单方肇事交通事故，有路产损失，无人员伤亡，事故未造成交通中断。事故认定为：驾驶员操作不当。
95,41:00.0,1,G85银昆高速上行线K1727+500M,1727500,财产损失事故,两车事故,0,0,0,600,无,阴,一般弯,桥梁,尾随相撞,其他操作不当,小型客车,小型客车,,潮湿,防撞墙,2021年01月03日14时04分上高桥隧管站当班人员巡查至上行线K1727+500处发现一起两车追尾的交通事故，当班巡查人员立即摆放安全警示锥桶，经现场查看：该事故是由驾驶员（张明：18602810766）驾驶川A5AD53因驾驶操作失误导致追尾云A10S08的两车追尾交通事故，占用应急车道，行车道超车道正常通行，现场无人员受伤，有路产损失，当班人员立即联系交警、路政、保洁单位；于15时26分拖车到达现场施救完毕，道路恢复正常通行。路政部门未到达现场路产由当班人员核量；该事故造成路产损失：1、路面垃圾长2*2米共计4平方；2、路面油污1*1米共计1平方；3、挡墙擦痕0.5*2共计1平方。
96,2021/1/11 19:17,1,银昆高速公路下行线K1762+700M,1762700,财产损失事故,两车事故,0,0,0,13060,,阴,平直,普通路段,撞固定物,转向不当,中型货车,中型货车,,干燥,防撞墙,"2021年1月11日19时17分,接到交警电话G85银昆高速公路路段下行线K1762+700处有两辆货车（四轴、六轴）在行驶过程中由于后车追尾导致车辆侧翻撞击左侧波形护栏，造成油污污染路面以及波形护栏和路缘石不同程度损坏，大口子隧管站人员立即前往事故现场并摆放路锥及标志牌，有路产，并通知路政。涉及路产的肇事车辆：(渝C86590)"
97,30:00.0,5,G85银昆高速下行线K1705+840M,1705840,轻微事故,两车事故,0,0,0,,23:35-00:05,阴,一般坡,隧道,尾随相撞,其他操作不当,小型客车,小型客车,,潮湿,波形防撞护栏,2021年01月15日23时35分上高桥隧管站当班人员接交警五中队通知辖区下行线打堡寨2号隧道入口（K1705+840）处发生一起两车追尾交通事故，当班人员于2021年01月15日23时50分到达事故现场并摆放安全警示锥桶，经现场查看：该事故是由云C9M116追尾云HYL885的两车追尾交通事故，占用超车道，现场无人员受伤，无路产损失，当班人员配合交警对下行线K1713+500处进行临时交通管制，已上报昭阳分处安全养护部。该事故是由驾驶员（余雄：15398510869）驾驶云C9M116因驾驶操作失误导致追尾云HYL885的两车追尾交通事故，占用超车道，行车道可正常通行，现场无人员受伤，无路产损失，交警已到现场将两车遣至应急车道处理，于2021年01月16日00时05分处理完毕。
98,2021/1/18 18:37,1,银昆高速公路下行K1742+920M,1742920,财产损失事故,单车事故,0,0,0,1020,,晴,平直,桥梁,失火,其他意外,小型货车,,,干燥,其他防护设施,"2021年1月18日10时10分,大口子隧管站巡逻人员道路巡查中发现，G85银昆高速公路路段上行线K1786+550处有一辆五型拖挂车（晋AX7258）在行驶过程中由于操作失误导致车辆撞击左侧防撞墙，大口子隧管站人员立即通知交警部门，并立即对事故现场摆放路锥及标志牌，有路产，并通知路政。涉及路产的肇事车辆：(晋AX7258)"
99,05:00.0,2,G85银昆高速下行线K1731+500M,1731500,财产损失事故,多车事故,0,0,0,2150,11:16-12:46,阴,平直,隧道,尾随相撞,未与前方车辆保持安全距离,小型客车,小型客车,小型客车,干燥,防撞墙,2021年01月19日11时05分上高桥隧管站当班人员接交警五中队通知辖区下行线北闸隧道（K1731+500）处发生一起五车追尾交通事故，当班人员于2021年01月19日11时18分到达事故现场，经现场查看：该事故是由云A962KJ驾驶员操作不当撞向右侧电缆沟壁反弹停在超车道上，云A962KJ后面一车云F12H89紧急制动，云F12H89后面四辆车（依次为云JX2375、云A?J3A16、云A0KA58、川Q902Q5）由于跟车太近连续追尾，占用超车道，现场无人员受伤，当班人员配合交警对北闸隧道口下行线K1731+150处进行临时交通管制，已上报昭阳分处安全养护部。此事故有云A962KJ撞坏电缆沟壁长1.8米，宽0.3米；油污长5.8米，宽1.5米。于2021年01月16日00时05分处理完毕。于2021年01月19日11时58分第一辆拖车到达事故现场，于2021年01月19日12时20分第二、第三辆拖车到达事故现场，于2021年01月19日12时23分保洁人员到达现场清理油污及路面垃圾。事故于12时46分分处理完毕，同时解除交通管制，交通恢复正常。
100,10:00.0,7,G85银昆高速上行线K1733+500M,1733500,财产损失事故,单车事故,0,0,0,2346,无,晴,平直,普通路段,侧面相撞,其他操作不当,小型客车,,,干燥,防撞墙,2021年01月24日17时10分上高桥隧管站当班人员接交警五中队通知辖区上行线K1733+500处发生一起单方肇事交通事故，当班人员于2021年01月24日17时22分到达事故现场，经现场查看：该事故是由云A577HL驾驶员操作不当撞向右侧隔音屏挡墙导致车辆故障，占用应急车道及行车道，现场无人员受伤，有路产损失，当班人员立即联系路政和保洁单位；于18时13分拖车到达现场施救完毕，道路恢复正常通行。路政部门未到达现场路产由当班人员核量，该事故造成路产损失：1.隔音屏挡墙擦伤长10米，宽0.7米。2.隔音屏立柱螺丝损坏2组，3.路面油污3个平方，4.路面垃圾长10米，宽0.5米，共计5平方米。
101,50:00.0,3,G85银昆高速上行线K1724+800M,1724800,轻微事故,两车事故,0,0,0,,无,晴,平直,普通路段,尾随相撞,其他操作不当,小型客车,小型客车,,干燥,波形防撞护栏,2021年01月27日15时50分上高桥隧道管理站当班人员巡逻至辖区上行线K1724+800处发现一起两车追尾交通事故，经现场查看：该事故是由云A3396Z驾驶员操作不当撞向前方行驶车辆（川C81339）导致的交通事故，该事故占用行车道及应急车道，超车道正常通行。现场无人员受伤，无路产损失。当班人员已摆放警示锥桶，并联合交警四中队对该起事故进行处理，于2021年01月27日17时25分处理完毕，道路恢复通行共计用时1时35分。
102,40:00.0,5,G85银昆高速上行线K1731+150M,1731150,轻微事故,单车事故,0,0,0,,无,阴,平直,普通路段,侧面相撞,其他操作不当,小型客车,,,潮湿,波形防撞护栏,2021年01月29日23时35分上高桥隧管站当班人员接交警五中队通知麻昭高速上行线K1731+150处发生一起单方肇事交通事故，当班人员于2021年01月29日23时40分到达事故现场，经现场查看：云C G5920驾驶员操作不当撞向左侧波形护栏造成交通事故，事故占用超车道，现场无人员受伤，有路产损失；当班人员立即上报昭阳分处安全养护部及监控中心。并联系路政和保洁单位，于2021年01月30日00时40分拖车到达现场施救完毕，道路恢复正常通行。路政部门未到达现场路产由当班人员核量，该事故造成路产损坏：K1731+150处路产损坏：防阻块4个、立柱3根、波形护栏两波板 4块、引道照明1盏（路灯）；1731+180 处波形护栏两波板1块、防阻块1个；路面垃圾2平方米。
103,50:00.0,7,G85银昆高速上行线K1706+505M,1706505,轻微事故,单车事故,0,0,0,,无,雨,平直,隧道,侧面相撞,其他操作不当,中型货车,,,潮湿,防撞墙,2021年01月31日08时50分上高桥隧管站当班人员接交警四中队通知麻昭高速上行线K1706+505处（上高桥隧道内）发生一起单方肇事交通事故，当班人员立即赶到事故现场，经现场查看：由川AY7575驾驶员操作不当撞向右侧电缆沟造成交通事故，事故未占用车道（车辆已开到上高桥收费站处理），现场无人员受伤，有路产损失，已通知路政、并上报昭阳分处安全养护部。此事故由川AY7575三轴货车造成路产损坏：一、上行线K1706+505处右侧路产损坏：1.损坏电缆沟沟帮长5米、高0.5米，2.损坏电缆沟盖板10块。二、上行线1706+540处右侧路产损坏： 1.损坏电缆沟沟帮长13米、高0.5米，2.损坏电缆沟盖板38块，3.损坏上行线上高桥隧道内6号消防箱1个，4.损坏电缆线架20个；于2021年01月31日09时40分事故处理完毕，路政部门未到达现场路产由当班人员核量。
104,2021/2/1 2:14,1,银昆高速公路下行线K1688+870,1688870,轻微事故,单车事故,0,0,0,5260,无,阴,平直,隧道,撞固定物,疲劳驾驶,小型货车,,,干燥,其他防护设施,"2021年2月1日02时14分凉水井隧管站站接交警电话通知，四方石隧道上行线K1688+870处发生一起交通事故，我所值班人员02时41分赶到现场，摆放标志牌、警戒桶进行安全提示，交警已02时45分到达现场。现场一辆货车单方肇事，临时车牌（川J49533)占用超车道，行车道可缓慢通行，无人员伤亡，有路产损失:1、电缆沟帮:损坏19m；2、隧道壁刮痕:长9.7m,宽0.7m；3、轮廓灯损坏:1个。已通知路政部门并上报相关科室。03时12分拖车到达现场对事故车辆进行拖离，交通恢复正常通行。"
105,55:00.0,4,G85银昆高速下行线K1716+400M,1716400,财产损失事故,单车事故,0,0,0,15894,无,晴,平直,普通路段,侧面相撞,其他操作不当,小型客车,,,干燥,波形防撞护栏,2021年2月4日14时50分上高桥隧管站当班人员接交警四中队通知麻昭高速下行线K1716+400处发生一起单方肇事交通事故，当班人员于2021年2月4日15时01分到达事故现场，经现场查看：赣B L7N02驾驶员操作不当撞向右侧波形护栏造成交通事故，事故占用超车道，现场无人员受伤，有路产损失；现场查看后立即上报昭阳分处安全养护部及监控中心，并联系路政和保洁单位，于2021年2月4日15时17分拖车到达现场，15时37分路政部门和现场人员核量损坏路产，该事故造成路产损坏：波形护栏两波板5块、立柱6根、防阻块7个、路面刮痕：长4米、宽0.1米、路面垃圾3平方米，15时52分处理完毕，道路恢复正常通行。
106,22:00.0,7,G85银昆高速下行线K1707+700M,1707700,财产损失事故,单车事故,0,0,0,180,11:28-12:39,阴,一般坡,隧道,对向刮擦,其他操作不当,小型客车,,,干燥,防撞墙,"2021年02月07日10时56分麻昭高速公路下行线上高桥隧道内K1707+700(上高桥收费站至悦乐收费站间)车牌为浙C330QK的轿车发生一起单方肇事交通事故，后车云AQ800H因避让不及时撞向电缆沟壁，未造成电缆沟壁损坏,占用行车道。现场无人员受伤；浙C330QK涉及路产损失，1.刮擦掉3个隧道轮廓标。由于施救需要于11时00分在下行线K1713+000处进行临时交通管制。现场查看后立即上报昭阳分处安全养护部及监控中心。于12时39分拖车拖离事故现场，道路恢复正常通行，交通管制结束。"
107,50:00.0,5,G85银昆高速上行线K1732+900M,1732900,轻微事故,单车事故,0,0,0,,14:58-15:20,阴,平直,隧道,对向刮擦,其他操作不当,小型客车,,,干燥,防撞墙,2021年2月12日14时50分上高桥隧道管理站当班人员巡查至上行线K1732+900处发现一起单方肇事交通事故，当班人员立即协助交警部门处理交通事故，该事故为车牌云C9C302的一型客车因操作不当导致车辆撞向电缆沟的单方肇事交通事故，占用超车道，该事故无人员伤亡，无路产损坏，靖安收费站至昭通北收费站之间，当班人员配合交警对上行线北闸隧道入口K1731+100处进行临时交通管制，已上报昭阳分处养护安全部及监控中心，该事故于15时20分处理完毕交通恢复正常通行，交通管制结束。
108,55:00.0,6,G85银昆高速下行线K1730+680M,1730680,轻微事故,单车事故,0,0,0,,无,阴,平直,桥梁,对向刮擦,其他操作不当,小型货车,,,干燥,防撞墙,2021年2月13日00时35分上高桥隧道管理站当班人员接交警四中队电话通知：下行线K1730+680处发生一起单方肇事交通事故，当班人员到现场了解到因驾驶员操作不当导致车辆撞向防撞墙的单方肇事交通事故，占用应急车道，该事故无人员伤亡，无路产损坏，昭通北收费站至靖安收费站之间，由于车辆损坏，当班人员在事故车辆后方摆放警示锥桶，配合交警等待拖车救援，已上报昭阳分处养护安全部，该事故于01时23分处理完毕，交通恢复正常通行，
109,2021/2/15 12:40,1,银昆高速公路上行线K1693+500,1693500,轻微事故,多车事故,0,0,0,,无,晴,平直,隧道,尾随相撞,未与前方车辆保持安全距离,小型客车,小型客车,云CVY021  云AT0G59  云A95T56,干燥,其他防护设施,2021年2月15日12时40分凉水井隧管站站接交警电话通知，上行线K1693+500处发生一起3车连环追尾的交通事故，我所值班人员13时00分赶到现场，交警已到达现场处理，事故车辆转移至应急车道处理。无人员伤亡，无路产损失。14时10分事故处理结束，交通恢复正常通行。
110,2021/2/17 11:50,3,银昆高速公路上行线K1674+400,1674400,轻微事故,多车事故,0,0,0,,无,阴,平直,普通路段,尾随相撞,未与前方车辆保持安全距离,小型客车,小型客车,云C1V183   云CNM311  云CEN060  渝C8V698  云A959U6 云C7D529,干燥,防撞墙,2021年2月17日11时50分凉水井隧管站站接交警电话通知，上行线K1674+400处发生一起6车连环追尾的交通事故，我所值班人员12时00分赶到现场，交警已到达现场处理，事故车辆已在交警指挥下转移到隧道外应急车道处理。12时38分拖车到达现场对最后一辆事故车辆进行拖离，交通恢复正常通行。
111,50:00.0,3,G85银昆高速上行线K1732+100M,1732100,轻微事故,两车事故,0,0,0,,无,阴,平直,隧道,尾随相撞,未与前方车辆保持安全距离,小型客车,小型客车,,干燥,防撞墙,"2021年2月17日12时50分接交警北闸执勤点通知麻昭高速公路上行线K1732+100处(靖安收费站至昭通北收费站）小型汽车发生单两车追尾交通事故，上高桥隧管站迅速赶赴现场协助交警对交通事故进行处理，该事故是因小型客车（云CF7882）行驶途中操作不当追尾小型客车（云A106EA）造成的两车追尾交通事故,事故车辆占用超车道，行车道正常通行，现场无人员受伤，无路产损坏，拖车于13时44分到达现场并对事故车辆进行救援。事故于2021年2月17日14时05分处理完毕，交通恢复正常通行，该事故共计用时1时15分处理完毕。"
112,2020/2/21 22:08,7,银昆高速公路上行线K1743+000M,1743000,财产损失事故,单车事故,0,0,0,3600,,阴,平直,普通路段,碰撞静止车辆,其他操作不当,小型客车,,,干燥,其他防护设施,2021年2月21日22时08分，驾驶员驾驶车辆渝A397EW号货车行驶在G85银昆高速麻昭段，22时08分许，行驶到银昆高速公路上行线K1743+000M处时，因机械故障导致车辆漏油，造成单方肇事交通事故，有路产损失，无人员伤亡，事故未造成交通中断，事故认定为：机械故障。
113,2021/2/27 6:10,6,银昆高速公路上行线K1759+650M,1759650,财产损失事故,单车事故,0,0,0,8660,,晴,平直,普通路段,撞固定物,油门控制不当,小型客车,,,干燥,波形防撞护栏,2021年2月27日06时10分，肖意华，男33岁，驾驶云A8K85Y号面包车行驶在G85银昆高速麻昭段，06时10分许，行驶到银昆高速公路上行线K1759+650M处时，因油门控制不当导致车辆撞击左侧波形护栏，造成单方肇事交通事故，有路产损失，无人员伤亡，事故未造成交通中断。事故认定为：驾驶员油门控制不当。
